"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Thickness","Year","Gregorian year","Mintmark","Quantity","Grade","Collection","Public comment"
"Canada","Canada","Canadian dollar (1858-date)","0.5","KM# 75","N# 305","50 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1968-1989","Round","Nickel","8.1","27.13","1.93","1975","1975","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.5","KM# 75","N# 305","50 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1968-1989","Round","Nickel","8.1","27.13","1.93","1978","1978","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.5","KM# 75","N# 305","50 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1968-1989","Round","Nickel","8.1","27.13","1.93","1986","1986","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.5","KM# 185","N# 441","50 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1990-1996","Round","Nickel","8.1","27.13","2","1995","1995","","1","XF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.5","KM# 290","N# 444","50 Cents - Elizabeth II (3rd portrait, new composition)","Non-circulating coin","2001-2003","Round","Nickel plated steel","6.9","27.13","1.9","2001","2001","","1","UNC","Uncirculated / Sealed","From ""Royal Canadian Mint 2001 Specimen Set"""
"Canada","Canada","Canadian dollar (1858-date)","0.5","KM# 444","N# 446","50 Cents - Elizabeth II (Golden Jubilee)","Circulating commemorative coin","2002","Round","Nickel plated steel","6.9","27.13","1.95","2002","2002","P","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.5","KM# 2304","N# 5809","50 Cents - Elizabeth II (4th portrait)","Standard circulation coin","2003-2021","Round","Nickel plated steel","6.9","27.13","1.9","2012","2012","L","1","UNC","Uncirculated / Sealed","From ""Canada 2012 Uncirculated Set"""
"Canada","Canada","Canadian dollar (1858-date)","0.5","KM# 494a","N# 42335","50 Cents - Elizabeth II (4th portrait; Silver Proof Issue)","Non-circulating coin","2004-2011","Round","Silver (.925)","9.3","27.13","","2004","2004","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 76","N# 3326","1 Dollar - Elizabeth II (large 2nd portrait)","Standard circulation coin","1968-1976","Round","Nickel","15.62","32.13","2.65","1975","1975","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 121","N# 19352","1 Dollar - Elizabeth II (Commonwealth Games)","Non-circulating coin","1978","Round","Silver (.500)","23.3276","36","","1978","1978","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 120","N# 458","1 Dollar - Elizabeth II (small 2nd portrait)","Standard circulation coin","1978-1987","Round","Nickel","15.62","32.13","2.62","1978","1978","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 120","N# 458","1 Dollar - Elizabeth II (small 2nd portrait)","Standard circulation coin","1978-1987","Round","Nickel","15.62","32.13","2.62","1980","1980","","1","XF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 134","N# 463","1 Dollar - Elizabeth II (Constitution)","Circulating commemorative coin","1982","Round","Nickel","15.62","32.13","2.6","1982","1982","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 141","N# 464","1 Dollar - Elizabeth II (Jacques Cartier)","Circulating commemorative coin","1984","Round","Nickel","15.62","32.13","2.55","1984","1984","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 157","N# 465","1 Dollar - Elizabeth II (2nd portrait)","Standard circulation coin","1987-1989","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.95","1989","1989","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 186","N# 467","1 Dollar - Elizabeth II (3rd portrait)","Standard circulation coin","1990-2003","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.75","2001","2001","","1","UNC","Uncirculated / Sealed","From ""Royal Canadian Mint 2001 Specimen Set"""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 218","N# 469","1 Dollar - Elizabeth II (Canadian Confederation)","Circulating commemorative coin","1992","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.75","1992","1992","","1","XF","Specialized Folder (for circulating coins)",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 248","N# 470","1 Dollar - Elizabeth II (National War Memorial)","Circulating commemorative coin","1994","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.75","1994","1994","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 258","N# 471","1 Dollar - Elizabeth II (Peacekeeping)","Circulating commemorative coin","1995","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.75","1995","1995","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 495","N# 472","1 Dollar - Elizabeth II (4th portrait)","Standard circulation coin","2003-2012","Hendecagonal","Bronze plated nickel","7","26.5","1.95","2004","2004","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 495","N# 472","1 Dollar - Elizabeth II (4th portrait)","Standard circulation coin","2003-2012","Hendecagonal","Bronze plated nickel","7","26.5","1.95","2012","2012","L","1","UNC","Uncirculated / Sealed","From ""Canada 2012 Uncirculated Set"""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 512","N# 42516","1 Dollar - Elizabeth II (First French settlement in America)","Non-circulating coin","2004","Round","Silver (.9999)","25.175","36.07","3.02","2004","2004","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 513","N# 473","1 Dollar - Elizabeth II (Lucky Loonie)","Circulating commemorative coin","2004","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.95","2004","2004","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 552","N# 474","1 Dollar - Elizabeth II (Terry Fox)","Circulating commemorative coin","2005","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.95","2005","2005","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 630","N# 475","1 Dollar - Elizabeth II (Lucky Loonie)","Circulating commemorative coin","2006","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.95","2006","2006","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 653","N# 63883","1 Dollar  - Elizabeth II (Thayendanegea)","Non-circulating coin","2007","Round","Silver (.925)","25.18","36.07","","2007","2007","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 787","N# 3453","1 Dollar - Elizabeth II (Lucky Loonie)","Circulating commemorative coin","2008","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.95","2008","2008","L","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 864","N# 5847","1 Dollar - Elizabeth II (Montreal Canadiens)","Circulating commemorative coin","2009","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.95","2009","2009","L","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 883","N# 10397","1 Dollar - Elizabeth II (Lucky Loonie)","Circulating commemorative coin","2010","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","1.75","2010","2010","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 1017","N# 13615","1 Dollar - Elizabeth II (Royal Canadian Navy)","Circulating commemorative coin","2010","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","","2010","2010","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 1166","N# 25833","1 Dollar - Elizabeth II (Canadian Parks)","Circulating commemorative coin","2011","Hendecagonal (11-sided)","Bronze plated nickel","7","26.5","","2011","2011","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 1294","N# 37123","1 Dollar - Elizabeth II (100th CFL Grey Cup)","Circulating commemorative coin","2012","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2012","2012","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 1256","N# 35988","1 Dollar - Elizabeth II (Lucky Loonie)","Circulating commemorative coin","2012-2014","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2012","2012","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 1256","N# 35988","1 Dollar - Elizabeth II (Lucky Loonie)","Circulating commemorative coin","2012-2014","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2014","2014","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 1255","N# 32604","1 Dollar - Elizabeth II (4th portrait, new alloy)","Standard circulation coin","2012-2021","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2018","2018","","1","AU","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 1255","N# 32604","1 Dollar - Elizabeth II (4th portrait, new alloy)","Standard circulation coin","2012-2021","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2021","2021","","1","UNC","Uncirculated / Sealed","100th Anniversary of Bluenose Set"
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 2089","N# 89178","1 Dollar - Elizabeth II (Lucky Loonie)","Circulating commemorative coin","2016","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2016","2016","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","KM# 2102","N# 85011","1 Dollar - Elizabeth II (Women's Right to Vote)","Circulating commemorative coin","2016","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2016","2016","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","","N# 126039","1 Dollar - Elizabeth II (Toronto Maple Leafs)","Circulating commemorative coin","2017","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2017","2017","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","","N# 105470","1 Dollar - Elizabeth II (Connecting A Nation)","Circulating commemorative coin","2017","Hendecagonal (11-sided)","Brass plated steel","6.27","26.5","1.95","2017","2017","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","","N# 166790","1 Dollar - Elizabeth II (Equality)","Circulating commemorative coin","2019","Hendecagonal (11-sided)","Brass plated steel (three-ply plating)","6.27","26.5","","2019","2019","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","","N# 184872","1 Dollar - Elizabeth II (Holiday Gift)","Non-circulating coin","2019","Round","Brass plated steel","6.27","26.5","","2019","2019","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","1","","N# 244642","1 Dollar - Elizabeth II (UN Charter; coloured)","Circulating commemorative coin","2020","","Brass plated steel","6.27","26.5","","2020","2020","","1","AU","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","1","","N# 307840","1 Dollar - Elizabeth II (125th Anniversary of the Klondike Gold Rush; coloured)","Circulating commemorative coin","2021","","Brass plated steel (three-ply)","6.27","26.5","","2021","2021","","1","AU","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 270","N# 476","2 Dollars - Elizabeth II (3rd portrait)","Standard circulation coin","1996-2003","Round","Bimetallic: aluminium-bronze center in nickel ring","7.3","28","1.8","2001","2001","","1","UNC","Uncirculated / Sealed","From ""Royal Canadian Mint 2001 Specimen Set"""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 357","N# 477","2 Dollars - Elizabeth II (Nunavut)","Circulating commemorative coin","1999","Round","Bimetallic: aluminium-bronze center in nickel ring","7.3","28","1.8","1999","1999","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 399","N# 478","2 Dollars - Elizabeth II (Knowledge)","Circulating commemorative coin","2000","Round","Bimetallic: aluminium-bronze center in nickel ring","7.3","28","1.8","2000","2000","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 449","N# 3450","2 Dollars - Elizabeth II (Golden Jubilee)","Circulating commemorative coin","2002","Round","Bimetallic: aluminium-bronze center in nickel ring","7.3","28","1.8","2002","2002","","1","XF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 796","N# 42334","2 Dollars - Elizabeth II (4th portrait; Silver Proof Issue)","Non-circulating coin","2004-2011","Round","Silver (.925)","8.83","28","","2004","2004","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 836","N# 3451","2 Dollars - Elizabeth II (10th anniversary Toonie)","Circulating commemorative coin","2006","Round","Bimetallic: aluminium-bronze center in nickel ring","7.3","28","1.8","2006","2006","L","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 837","N# 30139","2 Dollars - Elizabeth II (4th portrait)","Standard circulation coin","2006-2012","Round","Bimetallic: aluminium-bronze center in nickel ring","7.3","28","1.75","2012","2012","L","1","UNC","Uncirculated / Sealed","From ""Canada 2012 Uncirculated Set"""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 1040","N# 2696","2 Dollars - Elizabeth II (Quebec City)","Circulating commemorative coin","2008","Round","Bimetallic: aluminium-bronze center in nickel ring","7.3","28","1.8","2008","2008","","1","AU","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 1167","N# 26643","2 Dollars - Elizabeth II (Boreal Forest)","Circulating commemorative coin","2011","Round","Bimetallic: aluminium-bronze center in nickel ring","7.3","28","","2011","2011","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 1258","N# 34905","2 Dollars - Elizabeth II (War of 1812, HMS Shannon)","Circulating commemorative coin","2012","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.92","28","1.75","2012","2012","","1","XF","Specialized Folder (for circulating coins)",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 1257","N# 32192","2 Dollars - Elizabeth II (4th portrait, new alloy)","Standard circulation coin","2012-2021","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.92","28","1.75","2019","2019","","1","UNC","Uncirculated / Sealed","Holiday Gift Set (2019)"
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 1257","N# 32192","2 Dollars - Elizabeth II (4th portrait, new alloy)","Standard circulation coin","2012-2021","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.92","28","1.75","2021","2021","","1","UNC","Uncirculated / Sealed","100th Anniversary of Bluenose Set"
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 1711","N# 65427","2 Dollars - Elizabeth II (Wait for Me, Daddy)","Circulating commemorative coin","2014","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.92","28","","2014","2014","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 1854","N# 77911","2 Dollars - Elizabeth II (Remembrance)","Circulating commemorative coin","2015","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.92","28","1.75","2015","2015","","1","VF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 1855","N# 69098","2 Dollars - Elizabeth II (Sir John A. MacDonald)","Circulating commemorative coin","2015","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.929","28","1.75","2015","2015","","1","XF","Specialized Folder (for circulating coins)",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 2103","N# 95195","2 Dollars - Elizabeth II (Battle of The Atlantic)","Circulating commemorative coin","2016","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.92","28","1.75","2016","2016","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 2325","N# 126055","2 Dollars - Elizabeth II (The Battle of Vimy Ridge)","Circulating commemorative coin","2017","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","","2017","2017","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","","N# 105941","2 Dollars - Elizabeth II (Dance of The Spirits)","Circulating commemorative coin","2017","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","1.8","2017","2017","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","","N# 107159","2 Dollars - Elizabeth II (Dance of The Spirits; coloured)","Circulating commemorative coin","2017","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","1.8","2017","2017","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","KM# 2581.1","N# 153008","2 Dollars - Elizabeth II (Armistice; non-coloured)","Circulating commemorative coin","2018","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","1.75","2018","2018","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","","N# 152632","2 Dollars - Elizabeth II (Armistice; coloured)","Circulating commemorative coin","2018","Round","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","1.7","2018","2018","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","","N# 169200","2 Dollars - Elizabeth II (D-Day; coloured)","Circulating commemorative coin","2019","Round","Bimetallic (Pad Printed)","6.99","28","1.7","2019","2019","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","","N# 232478","2 Dollars - Elizabeth II (Bill Reid; coloured)","Circulating commemorative coin","2020","","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","","2020","2020","","1","AU","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","","N# 232479","2 Dollars - Elizabeth II (Bill Reid; non-colourised)","Circulating commemorative coin","2020","","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","","2020","2020","","1","XF","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","","N# 235989","2 Dollars - Elizabeth II (Victory; coloured)","Circulating commemorative coin","2020","","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","","2020","2020","","1","AU","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","2","","N# 239045","2 Dollars - Elizabeth II (Victory; non-coloured)","Circulating commemorative coin","2020","","Bimetallic: brass plated aluminium-bronze center in nickel plated steel ring","6.99","28","","2020","2020","","1","AU","Toonie Commemorative Book",""
"Canada","Canada","Canadian dollar (1858-date)","5","KM# 89","N# 10974","5 Dollars - Elizabeth II (Olympic Rings and Wreath)","Non-circulating coin","1974","Round","Silver (.925)","24.3","38","","1974","1974","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","5","","N# 115071","5 Dollars - Elizabeth II (Proudly Canadian)","Non-circulating coin","2017","Round","Silver (.9999)","7.96","27","","2017","2017","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","5","","N# 169659","5 Dollars - Elizabeth II (This Is Canada)","Non-circulating coin","2019","Round","Silver (.999)","7.96","27","","2019","2019","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","10","KM# 93","N# 10979","10 Dollars - Elizabeth II (Head of Zeus)","Non-circulating coin","1974","Round","Silver (.925)","48.6","45","","1974","1974","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","20","KM# 1931","N# 67206","20 Dollars - Elizabeth II (Snowman)","Non-circulating coin","2014","Round","Silver (.9999)","7.96","27","","2014","2014","","1","UNC","Uncirculated / Sealed",""
"Cayman Islands","Cayman Islands","Dollar (1972-date)","0.1","KM# 133","N# 2700","10 Cents - Elizabeth II (4th portrait)","Standard circulation coin","1999-2017","Round","Nickel plated steel","3.45","21","1.46","1999","1999","","1","XF","South America / Caribbean",""
"Cayman Islands","Cayman Islands","Dollar (1972-date)","0.25","KM# 134","N# 3192","25 Cents - Elizabeth II (4th portrait)","Standard circulation coin","1999-2017","Round","Nickel plated steel","5.1","24.26","1.61","2013","2013","","1","XF","South America / Caribbean",""
"Central African States","Central African States","CFA franc (Bank of Central African States, 1973-date)","100","KM# 15","N# 1809","100 Francs CFA","Standard circulation coin","2006-2019","Round","Bimetallic: stainless steel center in brass ring","6","24","2","2006","2006","","1","XF","World Coins / Other",""
"Chile","Chile","New peso (1975-date)","10","KM# 218","N# 2842","10 Pesos","Standard circulation coin","1981-1990","Round","Aluminium-bronze","3.5","21","1.3","1981","1981","So","1","VF","South America / Caribbean",""
"Chile","Chile","New peso (1975-date)","50","KM# 219","N# 2834","50 Pesos","Standard circulation coin","1981-2021","Decagonal (10-sided)","Aluminium-bronze","7","25","1.8","2001","2001","So","1","VF","South America / Caribbean",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","0.02","KM# 2","N# 1221","2 Fen","Standard circulation coin","1956-2000","Round","Aluminium","1.05","21","1.6","1985","1985","","1","XF","World Coins / Other",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","0.1","KM# 335","N# 1217","1 Jiao","Standard circulation coin","1991-1999","Round","Aluminium","2.3","22.5","2.46","1997","1997","","1","XF","World Coins / Other",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","0.1","KM# 1210b","N# 1223","1 Jiao (magnetic)","Standard circulation coin","2005-2018","Round","Stainless steel","3.2","19","1.5","2005","2005","","1","VF","World Coins / Other",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","0.5","KM# 1411","N# 1222","5 Jiao","Standard circulation coin","2000-2018","Round","Brass plated steel","3.8","20.5","1.69","2010","2010","","1","VF","World Coins / Other",""
"China","China, People's Republic of","Second Rénmínbì (1955-date)","1","KM# 1212","N# 1588","1 Yuan","Standard circulation coin","1999-2019","Round","Nickel plated steel","6.1","25","1.85","2012","2012","","1","VF","World Coins / Other",""
"China","Hong Kong","Dollar (1863-date)","0.1","KM# 66","N# 1579","10 Cents","Standard circulation coin","1993-2017","Round","Brass plated steel","1.84","17.55","1.18","1997","1997","","1","F","World Coins / Other",""
"China","Hong Kong","Dollar (1863-date)","0.2","KM# 36","N# 1573","20 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1975-1983","Scalloped (with 12 notches)","Nickel brass","2.6","19","1.37","1977","1977","","1","VF","World Coins / Other",""
"China","Hong Kong","Dollar (1863-date)","0.5","KM# 68","N# 1578","50 Cents","Standard circulation coin","1993-2017","Round","Brass plated steel","4.86","22.5","1.81","2015","2015","","1","XF","World Coins / Other",""
"China","Hong Kong","Dollar (1863-date)","1","KM# 43","N# 1583","1 Dollar - Elizabeth II (2nd portrait)","Standard circulation coin","1978-1980","Round","Copper-nickel","7.1","25.5","1.9","1978","1978","","1","VF","World Coins / Other",""
"China","Hong Kong","Dollar (1863-date)","5","KM# 65","N# 1576","5 Dollars","Standard circulation coin","1993-2019","Round","Copper-nickel","13.4","27","3","1995","1995","","1","VF","World Coins / Other",""
"China","Macau","Pataca (1894-date)","0.1","KM# 70","N# 5831","10 Avos","Standard circulation coin","1993-2010","Round","Brass","1.38","17","1","1993","1993","","1","VF","World Coins / Other",""
"China","Macau","Pataca (1894-date)","1","KM# 57","N# 4419","1 Pataca","Standard circulation coin","1992-2010","Round","Copper-nickel","9","26","2.25","1998","1998","","1","XF","World Coins / Other",""
"Colombia","Colombia","Peso decimalized (1847-date)","0.1","KM# 212","N# 5094","10 Centavos","Standard circulation coin","1952-1967","Round","Copper-nickel","2.5","18.5","1.31","1964","1964","","1","VF","South America / Caribbean",""
"Colombia","Colombia","Peso decimalized (1847-date)","500","KM# 286","N# 2432","500 Pesos","Standard circulation coin","1993-2012","Round","Bimetallic: aluminium-bronze center in nickel brass ring","7.4","23.8","2.25","1995","1995","","1","VF","South America / Caribbean",""
"Colombia","Colombia","Peso decimalized (1847-date)","1000","KM# 299","N# 34775","1000 Pesos","Standard circulation coin","2012-2021","Round","Bimetallic: nickel brass center in aluminium-bronze ring","9.95","26.7","2.7","2015","2015","","1","XF","South America / Caribbean",""
"Cook Islands","Cook Islands","Dollar (1972-date)","0.02","KM# 2","N# 4155","2 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1972-1983","Round","Bronze","4.14","21.08","1","1972","1972","","1","F","North America / Oceania",""
"Cook Islands","Cook Islands","Dollar (1972-date)","0.05","KM# 33","N# 5753","5 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1987-1994","Round","Copper-nickel","2.83","19.41","","1987","1987","","1","VF","North America / Oceania",""
"Cook Islands","Cook Islands","Dollar (1972-date)","0.1","KM# 34","N# 5752","10 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1987-1994","Round","Copper-nickel","5.65","23.6","","1987","1987","","1","VF","North America / Oceania",""
"Cook Islands","Cook Islands","Dollar (1972-date)","0.2","KM# 35","N# 5751","20 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1987-1994","Round","Copper-nickel","11.31","28.52","","1987","1987","","1","XF","North America / Oceania",""
"Cook Islands","Cook Islands","Dollar (1972-date)","0.5","KM# 41","N# 4163","50 Tene - Elizabeth II (3rd portrait; Hawksbill Turtle)","Standard circulation coin","1988-1994","Round","Copper-nickel","13.6","31.75","","1988","1988","","1","XF","North America / Oceania",""
"Cook Islands","Cook Islands","Dollar (1972-date)","2","KM# 417","N# 3676","2 Dollars - Elizabeth II (4th portrait)","Standard circulation coin","2003-2010","Triangular","Copper-nickel","7.55","26","2.25","2003","2003","","1","VF","North America / Oceania",""
"Costa Rica","Costa Rica","Colón (1896-date)","100","KM# 240","N# 6958","100 Colones","Standard circulation coin","2000","Round","Brass","9.1","29.5","1.96","2000","2000","","1","VF","South America / Caribbean",""
"Croatia","Croatia","Kuna (1994-date)","0.01","KM# 3","N# 2490","1 Lipa (Croatian text)","Standard circulation coin","1993-2021","Round","Aluminium-magnesium (98% Aluminum, 2% Magnesium)","0.7","17","1.4","2001","2001",".","1","VF","Europe",""
"Croatia","Croatia","Kuna (1994-date)","0.02","KM# 4","N# 2491","2 Lipe (Croatian text)","Standard circulation coin","1993-2021","Round","Aluminium-magnesium (98% Aluminum, 2% Mangnesium)","0.92","19","1.5","2001","2001",".","1","VF","Europe",""
"Croatia","Croatia","Kuna (1994-date)","0.05","KM# 5","N# 1989","5 Lipa (Croatian text)","Standard circulation coin","1993-2021","Round","Brass plated steel (72.5% Copper, 27.5% Zinc)","2.5","18","1.48","2013","2013",".","1","XF","Europe",""
"Croatia","Croatia","Kuna (1994-date)","0.1","KM# 6","N# 1272","10 Lipa (Croatian text)","Standard circulation coin","1993-2021","Round","Brass plated steel (72.5% Copper, 27.5% Steel)","3.25","20","1.5","2009","2009",".","1","VF","Europe",""
"Croatia","Croatia","Kuna (1994-date)","0.2","KM# 7","N# 2495","20 Lipa (Croatian text)","Standard circulation coin","1993-2021","Round","Nickel plated steel (Fe 95%, Ni 5% (plating composition))","2.9","18.5","1.6","2007","2007",".","1","XF","Europe",""
